#ϣⲁⲉⲛⲉϩ	ADV	ϣⲁⲉⲛⲉϩ
#ϯⲧⲟⲟⲧ	V	ϯⲧⲟⲟⲧ
#ϯⲧⲟⲟⲧⲟⲩ	V	ϯⲧⲟⲟⲧ
#ⲕⲁⲁⲧ	VSTAT	ⲕⲁⲁⲧ
#ⲕⲉⲟⲩⲁ	N	ⲕⲉⲟⲩⲁ
#ⲙⲁⲙⲡⲱⲧ	N	ⲙⲁⲙⲡⲱⲧ
#ⲙⲁⲛϣⲉⲗⲉⲉⲧ	N	ⲙⲁⲛϣⲉⲗⲉⲉⲧ
#ⲙⲁⲛϣⲓⲛⲉ	N	ⲙⲁⲛϣⲓⲛⲉ
#ⲙⲁⲛϣⲱⲡⲉ	N	ⲙⲁⲛϣⲱⲡⲉ
#ⲙⲁⲛϩⲁⲣⲉϩ	N	ⲙⲁⲛϩⲁⲣⲉϩ
#ⲙⲁⲛϩⲱⲧⲡ	N	ⲙⲁⲛϩⲱⲧⲡ
#ⲙⲁⲛϫⲁⲓⲉ	N	ⲙⲁⲛϫⲁⲓⲉ
#ⲙⲁⲛⲉⲗⲟⲟⲗⲉ	N	ⲙⲁⲛⲉⲗⲟⲟⲗⲉ
#ⲙⲁⲛⲕⲟⲧⲕ	N	ⲙⲁⲛⲕⲟⲧⲕ
#ⲙⲁⲛⲙⲧⲟⲛ	N	ⲙⲁⲛⲙⲧⲟⲛ
#ⲙⲁⲛⲛⲁ	N	ⲙⲁⲛⲛⲁ
#ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ	N	ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ
#ⲙⲁⲛⲟⲩⲱϩ	N	ⲙⲁⲛⲟⲩⲱϩ
#ⲙⲁⲛⲟⲩⲱⲙ	N	ⲙⲁⲛⲟⲩⲱⲙ
#ⲣϩⲛⲁ	V	ⲣϩⲛⲁ
#ⲣϩⲛⲏ	V	ⲣϩⲛⲏ
ⲙⲉⲩⲧ	V	ⲙⲟⲩⲟⲩⲧ
ⲙⲉⲭⲣⲓ	PREP	ⲙⲉⲭⲣⲓ
ⲙⲏ	CONJ	ⲙⲏ
ⲙⲏ	N	ⲙⲏ
ⲙⲏϣⲉ	N	ⲙⲏϣⲉ
ⲙⲏϣⲧⲉ	N	ⲙⲏϣⲧⲉ
ⲙⲏϩ	VSTAT	ⲙⲟⲩϩ
ⲙⲏϩⲉ	N	ⲙⲏϩⲉ
ⲙⲏⲃⲣⲁⲛⲟⲛ	N	ⲙⲏⲃⲣⲁⲛⲟⲛ
ⲙⲏⲅⲉⲛⲟⲉⲓⲧⲟ	PTC	ⲙⲏⲅⲉⲛⲟⲉⲓⲧⲟ
ⲙⲏⲅⲉⲛⲟⲓⲧⲟ	PTC	ⲙⲏⲅⲉⲛⲟⲓⲧⲟ
ⲙⲏⲇⲟⲥ	N	ⲙⲏⲇⲟⲥ
ⲙⲏⲉϣⲁϥ	CONJ	ⲙⲏⲉϣⲁϥ
ⲙⲏⲏϣⲉ	N	ⲙⲏⲏϣⲉ
ⲙⲏⲏϣⲉ	V	ⲙⲏⲏϣⲉ
ⲙⲏⲏⲛⲉ	N	ⲙⲏⲏⲛⲉ
ⲙⲏⲏⲥⲉ	N	ⲙⲏⲥⲉ
ⲙⲏⲏⲧⲉ	N	ⲙⲏⲧⲉ
ⲙⲏⲗⲁ	N	ⲙⲏⲗⲁ
ⲙⲏⲗⲓⲧⲓⲁⲛⲟⲥ	N	ⲙⲏⲗⲓⲧⲓⲁⲛⲟⲥ
ⲙⲏⲙⲟⲟⲩ	N	ⲙⲏⲙⲟⲟⲩ
ⲙⲏⲛ	VSTAT	ⲙⲟⲩⲛ
ⲙⲏⲛⲉ	N	ⲙⲏⲛⲉ
ⲙⲏⲛⲉⲩⲉ	V	ⲙⲏⲛⲉⲩⲉ
ⲙⲏⲡⲟⲧⲉ	CONJ	ⲙⲏⲡⲟⲧⲉ
ⲙⲏⲡⲱⲥ	ADV	ⲙⲏⲡⲱⲥ
ⲙⲏⲡⲱⲥ	CONJ	ⲙⲏⲡⲱⲥ
ⲙⲏⲡⲱⲥ	N	ⲙⲏⲡⲱⲥ
ⲙⲏⲣ	VSTAT	ⲙⲟⲩⲣ
ⲙⲏⲣϣ	N	ⲙⲏⲣϣ
ⲙⲏⲣϩ	N	ⲙⲗϩ
ⲙⲏⲣⲉ	N	ⲙⲁⲓⲣⲉ
ⲙⲏⲣⲟⲥ	N	ⲙⲏⲣⲟⲥ
ⲙⲏⲥⲉ	N	ⲙⲏⲥⲉ
ⲙⲏⲥⲧⲏⲣⲓⲟⲛ	N	ⲙⲏⲥⲧⲏⲣⲓⲟⲛ
ⲙⲏⲧ	N	ⲙⲏⲧ
ⲙⲏⲧ	NUM	ⲙⲏⲧ
ⲙⲏⲧ	NUM	ⲙⲏⲧⲉ
ⲙⲏⲧϣⲙⲏⲛⲉ	N	ⲙⲏⲧϣⲙⲏⲛⲉ
ⲙⲏⲧⲉ	N	ⲙⲏⲧⲉ
ⲙⲏⲧⲉ	NUM	ⲙⲏⲧ
ⲙⲏⲧⲉⲓ	CONJ	ⲙⲏⲧⲉⲓ
ⲙⲏⲧⲓ	CONJ	ⲙⲏⲧⲓ
ⲙⲏⲧⲛϣⲏ	N	ⲙⲏⲧⲛϣⲏ
ⲙⲏⲧⲣⲁ	N	ⲙⲏⲧⲣⲁ
ⲙⲏⲧⲣⲟⲡⲁⲧⲱⲣ	N	ⲙⲏⲧⲣⲟⲡⲁⲧⲱⲣ
ⲙⲏⲧⲣⲟⲡⲟⲗⲓⲥ	N	ⲙⲏⲧⲣⲟⲡⲟⲗⲓⲥ
ⲙⲏⲭⲁⲛⲏ	N	ⲙⲏⲭⲁⲛⲏ
ⲙⲏⲭⲁⲛⲏⲕⲟⲛ	N	ⲙⲏⲭⲁⲛⲏⲕⲟⲛ
ⲙⲓϣⲉ	N	ⲙⲓϣⲉ
ⲙⲓϣⲉ	V	ⲙⲓϣⲉ
ⲙⲓϣⲧⲱⲧⲉ	N	ⲙϣⲧⲱⲧⲉ
ⲙⲓⲅⲙⲁ	N	ⲙⲓⲅⲙⲁ
ⲙⲓⲕⲉ	N	ⲙⲓⲕⲉ
ⲙⲓⲕⲉ	V	ⲙⲓⲕⲉ
ⲙⲓⲕⲓ	N	ⲙⲓⲕⲉ
ⲙⲓⲕⲓ	V	ⲙⲓⲕⲉ
ⲙⲓⲗⲓⲟⲛ	N	ⲙⲓⲗⲓⲟⲛ
ⲙⲓⲗⲓⲟⲥ	N	ⲙⲓⲗⲓⲟⲥ
ⲙⲓⲗⲟⲥ	N	ⲙⲓⲗⲟⲥ
ⲙⲓⲗⳇ	N	ⲙⲓⲗⳇ
ⲙⲓⲙⲁⲣⲓⲟⲛ	N	ⲙⲓⲙⲁⲣⲓⲟⲛ
ⲙⲓⲙⲏⲥⲓⲥ	N	ⲙⲓⲙⲏⲥⲓⲥ
ⲙⲓⲛⲉ	N	ⲙⲓⲛⲉ
ⲙⲓⲝⲓⲥ	N	ⲙⲓⲝⲓⲥ
ⲙⲓⲟⲕ	PTC	ⲙⲓⲟⲕ
ⲙⲓⲥⲉ	V	ⲙⲓⲥⲉ
ⲙⲓⲥⲉⲟⲥ	N	ⲙⲓⲥⲉⲟⲥ
ⲙⲓⲥⲑⲟⲥ	N	ⲙⲓⲥⲑⲟⲥ
ⲙⲓⲥⲑⲱⲥⲓⲥ	N	ⲙⲓⲥⲑⲱⲥⲓⲥ
ⲙⲓⲥⲑⲱⲧⲏⲥ	N	ⲙⲓⲥⲑⲱⲧⲏⲥ
ⲙⲓⲥⲟⲡⲟⲛⲏⲣⲟⲛ	N	ⲙⲓⲥⲟⲡⲟⲛⲏⲣⲟⲛ
ⲙⲓⲥⲧⲣⲁⲛⲟⲥ	N	ⲙⲓⲥⲧⲣⲁⲛⲟⲥ
ⲙⲓⲧⲁⲧⲱⲣ	N	ⲙⲓⲧⲁⲧⲱⲣ
ⲙⲓⲧⲣⲁ	N	ⲙⲓⲧⲣⲁ
ⲙⲓⲭⲁⲏⲗ	NPROP	ⲙⲓⲭⲁⲏⲗ
ⲙⲓⲭⲁⲓⲁⲥ	NPROP	ⲙⲓⲭⲁⲓⲁⲥ
ⲙⲕⲁϩ	N	ⲙⲕⲁϩ
ⲙⲕⲁϩ	V	ⲙⲕⲁϩ
ⲙⲕⲁϩⲛϩⲏⲧ	V	ⲙⲕⲁϩⲛϩⲏⲧ
ⲙⲕⲙⲟⲩⲕ	V	ⲙⲟⲕⲙⲉⲕ
ⲙⲕⲙⲟⲩⲕⲉ	V	ⲙⲟⲕⲙⲉⲕ
ⲙⲗⲁϩ	N	ⲙⲗⲁϩ
ⲙⲙⲁⲁⲩ	N	ⲙⲙⲁⲁⲩ
ⲙⲙⲁⲧⲉ	ADV	ⲙⲙⲁⲧⲉ
ⲙⲙⲁⲩ	ADV	ⲙⲙⲁⲩ
ⲙⲙⲏⲛⲉ	ADV	ⲙⲙⲏⲛⲉ
ⲙⲙⲓⲛⲉⲙⲓⲛⲉ	ADV	ⲙⲙⲓⲛⲉⲙⲓⲛⲉ
ⲙⲙⲓⲛⲙⲙⲟ	IMOD	ⲙⲙⲓⲛⲙⲙⲟ
ⲙⲙⲓⲛⲙⲙⲟ	IMOD_PPERO	ⲙⲙⲓⲛⲙⲙⲟ_ⲛⲧⲟ
ⲙⲙⲓⲛⲙⲙⲟ	PREP	ⲙⲙⲓⲛⲙⲙⲟ
ⲙⲙⲓⲛⲙⲙⲱ	IMOD	ⲙⲙⲓⲛⲙⲙⲟ
ⲙⲙⲛ	EXIST	ⲙⲛ
ⲙⲙⲛⲛⲥⲁ	PREP	ⲙⲙⲛⲛⲥⲁ
ⲙⲙⲛⲧ	EXIST	ⲙⲛⲧⲉ
ⲙⲙⲛⲧⲁ	EXIST	ⲙⲛⲧⲉ
ⲙⲙⲛⲧⲉ	EXIST	ⲙⲛⲧⲉ
ⲙⲙⲛⲧⲏ	EXIST	ⲙⲛⲧⲉ
ⲙⲙⲟ	PREP	ⲛ
ⲙⲙⲟ	PREP_PPERO	ⲛ_ⲛⲧⲟ
ⲙⲙⲟⲛ	ADV	ⲙⲙⲟⲛ
ⲙⲙⲟⲛ	CONJ	ⲙⲙⲟⲛ
ⲙⲙⲟⲛ	NEG	ⲙⲙⲟⲛ
ⲙⲙⲟⲛ	PTC	ⲙⲙⲟⲛ
ⲙⲙⲟⲟⲩ	N	ⲙⲙⲟⲟⲩ
ⲙⲙⲟⲩ	N	ⲙⲙⲟⲩ
ⲙⲙⲱ	PREP	ⲛ
ⲙⲛ	EXIST	ⲙⲛ
ⲙⲛ	PREP	ⲙⲛ
ⲙⲛ	UNKNOWN	UNKNOWN
ⲙⲛϭⲏ	N	ⲙⲛⲕⲉ
ⲙⲛⲏⲙⲏ	N	ⲙⲛⲏⲙⲏ
ⲙⲛⲕⲉ	N	ⲙⲛⲕⲉ
ⲙⲛⲛⲥⲁ	PREP	ⲙⲛⲛⲥⲁ
ⲙⲛⲛⲥⲁⲛⲁⲓ	CONJ	ⲙⲛⲛⲥⲁⲛⲁⲓ
ⲙⲛⲛⲥⲱ	PREP	ⲙⲛⲛⲥⲁ
ⲙⲛⲟⲟⲧⲉ	N	ⲙⲛⲟⲟⲧⲉ
ⲙⲛⲟⲩⲧ	N	ⲙⲛⲟⲩⲧ
ⲙⲛⲧ	EXIST	ⲙⲛⲧⲉ
ⲙⲛⲧ	NUM	ⲙⲛⲧ
ⲙⲛⲧϣⲁ	N	ⲙⲛⲧϣⲁ
ⲙⲛⲧϣⲁϥⲧⲉ	NUM	ⲙⲛⲧϣⲁϥⲧⲉ
ⲙⲛⲧϣⲁⲉⲛⲉϩ	N	ⲙⲛⲧϣⲁⲉⲛⲉϩ
ⲙⲛⲧϣⲁⲛϩⲧⲏ	N	ⲙⲛⲧϣⲁⲛϩⲧⲏ
ⲙⲛⲧϣⲁⲛϩⲧⲏϥ	N	ⲙⲛⲧϣⲁⲛϩⲧⲏϥ
ⲙⲛⲧϣⲁⲛⲁϩⲧⲏϥ	N	ⲙⲛⲧϣⲁⲛⲁϩⲧⲏϥ
ⲙⲛⲧϣⲁⲣⲁϩⲉ	N	ⲙⲛⲧϣⲁⲣⲁϩⲉ
ⲙⲛⲧϣⲁⲩ	N	ⲙⲛⲧϣⲁⲩ
ⲙⲛⲧϣⲃⲏⲣ	N	ⲙⲛⲧϣⲃⲏⲣ
ⲙⲛⲧϣⲏⲣⲉ	N	ⲙⲛⲧϣⲏⲣⲉ
ⲙⲛⲧϣⲏⲣⲉϣⲏⲙ	N	ⲙⲛⲧϣⲏⲣⲉϣⲏⲙ
ⲙⲛⲧϣⲙⲏⲛ	NUM	ⲙⲛⲧϣⲙⲏⲛ
ⲙⲛⲧϣⲙⲏⲛⲉ	NUM	ⲙⲛⲧϣⲙⲏⲛⲉ
ⲙⲛⲧϣⲙⲙⲟ	N	ⲙⲛⲧϣⲙⲙⲟ
ⲙⲛⲧϣⲛⲁ	N	ⲙⲛⲧϣⲛⲁ
ⲙⲛⲧϣⲟⲙⲧⲉ	NUM	ⲙⲛⲧϣⲟⲙⲧⲉ
ⲙⲛⲧϣⲟⲩϣⲟ	N	ⲙⲛⲧϣⲟⲩϣⲟ
ⲙⲛⲧϣⲧⲟⲣⲧⲣ	N	ⲙⲛⲧϣⲧⲟⲣⲧⲣ
ⲙⲛⲧϣⲱⲥ	N	ⲙⲛⲧϣⲱⲥ
ⲙⲛⲧϥⲁⲓⲣⲟⲟⲩϣ	N	ⲙⲛⲧϥⲁⲓⲣⲟⲟⲩϣ
ⲙⲛⲧϥⲓ	N	ⲙⲛⲧϥⲓ
ⲙⲛⲧϩⲁϩ	N	ⲙⲛⲧϩⲁϩ
ⲙⲛⲧϩⲁⲕ	N	ⲙⲛⲧϩⲁⲕ
ⲙⲛⲧϩⲁⲕⲟ	N	ⲙⲛⲧϩⲁⲕⲟ
ⲙⲛⲧϩⲁⲙϣⲉ	N	ⲙⲛⲧϩⲁⲙϣⲉ
ⲙⲛⲧϩⲁⲡⲗⲟⲩⲥ	N	ⲙⲛⲧϩⲁⲡⲗⲟⲩⲥ
ⲙⲛⲧϩⲁⲣϣϩⲏⲧ	N	ⲙⲛⲧϩⲁⲣϣϩⲏⲧ
ⲙⲛⲧϩⲉⲃⲣⲁⲓⲟⲥ	N	ⲙⲛⲧϩⲉⲃⲣⲁⲓⲟⲥ
ⲙⲛⲧϩⲉⲗⲗⲏⲛ	N	ⲙⲛⲧϩⲉⲗⲗⲏⲛ
ⲙⲛⲧϩⲉⲣⲉⲥⲓⲥ	N	ⲙⲛⲧϩⲉⲣⲉⲥⲓⲥ
ⲙⲛⲧϩⲏⲕⲉ	N	ⲙⲛⲧϩⲏⲕⲉ
ⲙⲛⲧϩⲏⲧ	N	ⲙⲛⲧϩⲏⲧ
ⲙⲛⲧϩⲗⲗⲏⲛ	N	ⲙⲛⲧϩⲗⲗⲏⲛ
ⲙⲛⲧϩⲗⲗⲟ	N	ⲙⲛⲧϩⲗⲗⲟ
ⲙⲛⲧϩⲗⲗⲱ	N	ⲙⲛⲧϩⲗⲗⲱ
ⲙⲛⲧϩⲗⲟϭ	N	ⲙⲛⲧϩⲗⲟϭ
ⲙⲛⲧϩⲙϩⲁⲗ	N	ⲙⲛⲧϩⲙϩⲁⲗ
ⲙⲛⲧϩⲣϣⲓⲣⲉ	N	ⲙⲛⲧϩⲣϣⲓⲣⲉ
ⲙⲛⲧϩⲣⲟⲩⲱ	N	ⲙⲛⲧϩⲣⲟⲩⲱ
ⲙⲛⲧϩⲣⲱⲙⲁⲓⲟⲥ	N	ⲙⲛⲧϩⲣⲱⲙⲁⲓⲟⲥ
ⲙⲛⲧϫⲁϫⲉ	N	ⲙⲛⲧϫⲁϫⲉ
ⲙⲛⲧϫⲁⲉⲓⲉ	N	ⲙⲛⲧϫⲁⲉⲓⲉ
ⲙⲛⲧϫⲁⲓⲉ	N	ⲙⲛⲧϫⲁⲉⲓⲉ
ⲙⲛⲧϫⲁⲣϩⲏⲧ	N	ⲙⲛⲧϫⲁⲣϩⲏⲧ
ⲙⲛⲧϫⲁⲥⲓϩⲏⲧ	N	ⲙⲛⲧϫⲁⲥⲓϩⲏⲧ
ⲙⲛⲧϫⲓϯⲃⲥ	N	ⲙⲛⲧϫⲓϯⲃⲥ
ⲙⲛⲧϫⲓⲛϭⲟⲛⲥ	N	ⲙⲛⲧϫⲓⲛϭⲟⲛⲥ
ⲙⲛⲧϫⲓⲟⲩⲁ	N	ⲙⲛⲧϫⲓⲟⲩⲁ
ⲙⲛⲧϫⲓⲥⲉ	N	ⲙⲛⲧϫⲓⲥⲉ
ⲙⲛⲧϫⲟⲉⲓⲥ	N	ⲙⲛⲧϫⲟⲉⲓⲥ
ⲙⲛⲧϫⲟⲓⲥ	N	ⲙⲛⲧϫⲟⲓⲥ
ⲙⲛⲧϫⲡⲓⲟ	N	ⲙⲛⲧϫⲡⲓⲟ
ⲙⲛⲧϫⲱⲱⲣⲉ	N	ⲙⲛⲧϫⲱⲱⲣⲉ
ⲙⲛⲧϭⲁⲃϩⲏⲧ	N	ⲙⲛⲧϭⲁⲃϩⲏⲧ
ⲙⲛⲧϭⲁⲉⲓⲉ	N	ⲙⲛⲧϭⲁⲉⲓⲉ
ⲙⲛⲧϭⲁⲓⲉ	N	ⲙⲛⲧϭⲁⲓⲉ
ⲙⲛⲧϭⲁⲗⲉ	N	ⲙⲛⲧϭⲁⲗⲉ
ⲙⲛⲧϭⲁⲗⲟⲩⲃⲓϩ	N	ⲙⲛⲧϭⲁⲗⲟⲩⲃⲓϩ
ⲙⲛⲧϭⲁⲟⲩⲟⲛ	N	ⲙⲛⲧϭⲁⲟⲩⲟⲛ
ⲙⲛⲧϭⲁⲩⲟⲛ	N	ⲙⲛⲧϭⲁⲟⲩⲟⲛ
ⲙⲛⲧϭⲙⲉ	N	ⲙⲛⲧϭⲙⲉ
ⲙⲛⲧϭⲟⲟⲙⲉ	N	ⲙⲛⲧϭⲟⲟⲙⲉ
ⲙⲛⲧϭⲱⲃ	N	ⲙⲛⲧϭⲱⲃ
ⲙⲛⲧⲁ	EXIST	ⲙⲛⲧⲉ
ⲙⲛⲧⲁϥⲧⲉ	NUM	ⲙⲛⲧⲁϥⲧⲉ
ⲙⲛⲧⲁϭⲣⲏⲛ	N	ⲙⲛⲧⲁϭⲣⲏⲛ
ⲙⲛⲧⲁⲅⲁⲑⲟⲥ	N	ⲙⲛⲧⲁⲅⲁⲑⲟⲥ
ⲙⲛⲧⲁⲅⲉⲛⲛⲏⲧⲟⲥ	N	ⲙⲛⲧⲁⲅⲉⲛⲛⲏⲧⲟⲥ
ⲙⲛⲧⲁⲅⲣⲟⲓⲕⲟⲥ	N	ⲙⲛⲧⲁⲅⲣⲟⲓⲕⲟⲥ
ⲙⲛⲧⲁⲑⲏⲧ	N	ⲙⲛⲧⲁⲑⲏⲧ
ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ	N	ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ
ⲙⲛⲧⲁⲕⲁⲕⲟⲥ	N	ⲙⲛⲧⲁⲕⲁⲕⲟⲥ
ⲙⲛⲧⲁⲕⲉⲣⲁⲓⲟⲥ	N	ⲙⲛⲧⲁⲕⲉⲣⲁⲓⲟⲥ
ⲙⲛⲧⲁⲕⲣⲓⲃⲏⲥ	N	ⲙⲛⲧⲁⲕⲣⲓⲃⲏⲥ
ⲙⲛⲧⲁⲗⲁⲍⲱⲛ	N	ⲙⲛⲧⲁⲗⲁⲍⲱⲛ
ⲙⲛⲧⲁⲙⲉⲗⲏⲥ	N	ⲙⲛⲧⲁⲙⲉⲗⲏⲥ
ⲙⲛⲧⲁⲙⲣⲉ	N	ⲙⲛⲧⲁⲙⲣⲉ
ⲙⲛⲧⲁⲛϣⲟ	N	ⲙⲛⲧⲁⲛϣⲟ
ⲙⲛⲧⲁⲛⲁⲓⲥⲑⲏⲧⲟⲥ	N	ⲙⲛⲧⲁⲛⲁⲓⲥⲑⲏⲧⲟⲥ
ⲙⲛⲧⲁⲛⲁⲭⲱⲣⲓⲧⲏⲥ	N	ⲙⲛⲧⲁⲛⲁⲭⲱⲣⲓⲧⲏⲥ
ⲙⲛⲧⲁⲛⲟⲏⲧⲟⲥ	N	ⲙⲛⲧⲁⲛⲟⲏⲧⲟⲥ
ⲙⲛⲧⲁⲛⲟⲩⲥⲓⲟⲥ	N	ⲙⲛⲧⲁⲛⲟⲩⲥⲓⲟⲥ
ⲙⲛⲧⲁⲡⲁⲛⲑⲣⲱⲡⲟⲥ	N	ⲙⲛⲧⲁⲡⲁⲛⲑⲣⲱⲡⲟⲥ
ⲙⲛⲧⲁⲡⲉ	N	ⲙⲛⲧⲁⲡⲉ
ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ	N	ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ
ⲙⲛⲧⲁⲡⲟⲥⲧⲁⲧⲏⲥ	N	ⲙⲛⲧⲁⲡⲟⲥⲧⲁⲧⲏⲥ
ⲙⲛⲧⲁⲡⲟⲥⲧⲟⲗⲟⲥ	N	ⲙⲛⲧⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲙⲛⲧⲁⲡⲟⲥⲧⲟⲥ	N	ⲙⲛⲧⲁⲡⲟⲥⲧⲟⲥ
ⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ	N	ⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ
ⲙⲛⲧⲁⲣⲅⲟⲥ	N	ⲙⲛⲧⲁⲣⲅⲟⲥ
ⲙⲛⲧⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ	N	ⲙⲛⲧⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲙⲛⲧⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	N	ⲙⲛⲧⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲙⲛⲧⲁⲣⲭⲓⲉⲣⲉⲩⲥ	N	ⲙⲛⲧⲁⲣⲭⲓⲉⲣⲉⲩⲥ
ⲙⲛⲧⲁⲥ	N	ⲙⲛⲧⲁⲥ
ⲙⲛⲧⲁⲥⲉ	NUM	ⲙⲛⲧⲁⲥⲉ
ⲙⲛⲧⲁⲥⲉⲃⲏⲥ	N	ⲙⲛⲧⲁⲥⲉⲃⲏⲥ
ⲙⲛⲧⲁⲥⲑⲉⲛⲏⲥ	N	ⲙⲛⲧⲁⲥⲑⲉⲛⲏⲥ
ⲙⲛⲧⲁⲥⲕⲏⲧⲏⲥ	N	ⲙⲛⲧⲁⲥⲕⲏⲧⲏⲥ
ⲙⲛⲧⲁⲥⲥⲉ	N	ⲙⲛⲧⲁⲥⲥⲉ
ⲙⲛⲧⲁⲧ	N	ⲙⲛⲧⲁⲧ
ⲙⲛⲧⲁⲧϣⲁⲩ	N	ⲙⲛⲧⲁⲧϣⲁⲩ
ⲙⲛⲧⲁⲧϣⲓⲡⲉ	N	ⲙⲛⲧⲁⲧϣⲓⲡⲉ
ⲙⲛⲧⲁⲧϣⲟϫⲛⲉ	N	ⲙⲛⲧⲁⲧϣⲟϫⲛⲉ
ⲙⲛⲧⲁⲧϣⲱⲡⲉ	N	ⲙⲛⲧⲁⲧϣⲱⲡⲉ
ⲙⲛⲧⲁⲧϩⲏⲧ	N	ⲙⲛⲧⲁⲧϩⲏⲧ
ⲙⲛⲧⲁⲧϩⲛⲁⲁⲩ	N	ⲙⲛⲧⲁⲧϩⲛⲁⲁⲩ
ⲙⲛⲧⲁⲧϩⲛⲁⲁⲩ	N	ⲙⲛⲧⲁⲧϩⲛⲁⲁⲩ
ⲙⲛⲧⲁⲧϩⲛⲁⲩ	N	ⲙⲛⲧⲁⲧϩⲛⲁⲁⲩ
ⲙⲛⲧⲁⲧϩⲟⲧⲉ	N	ⲙⲛⲧⲁⲧϩⲟⲧⲉ
ⲙⲛⲧⲁⲧϫⲓϭⲟⲗ	N	ⲙⲛⲧⲁⲧϫⲓϭⲟⲗ
ⲙⲛⲧⲁⲧϭⲟⲙ	N	ⲙⲛⲧⲁⲧϭⲟⲙ
ⲙⲛⲧⲁⲧϭⲱⲛⲧ	N	ⲙⲛⲧⲁⲧϭⲱⲛⲧ
ⲙⲛⲧⲁⲧϭⲱⲧⲡ	N	ⲙⲛⲧⲁⲧϭⲱⲧⲡ
ⲙⲛⲧⲁⲧϯⲥⲟ	N	ⲙⲛⲧⲁⲧϯⲥⲟ
ⲙⲛⲧⲁⲧϯⲧⲱⲛ	N	ⲙⲛⲧⲁⲧϯⲧⲱⲛ
ⲙⲛⲧⲁⲧⲁⲙⲁϩⲧⲉ	N	ⲙⲛⲧⲁⲧⲁⲙⲁϩⲧⲉ
ⲙⲛⲧⲁⲧⲁⲝⲓⲁ	N	ⲙⲛⲧⲁⲧⲁⲝⲓⲁ
ⲙⲛⲧⲁⲧⲃⲁⲗ	N	ⲙⲛⲧⲁⲧⲃⲁⲗ
ⲙⲛⲧⲁⲧⲃⲟⲧⲉ	N	ⲙⲛⲧⲁⲧⲃⲟⲧⲉ
ⲙⲛⲧⲁⲧⲇⲓⲁⲕⲣⲓⲛⲉ	N	ⲙⲛⲧⲁⲧⲇⲓⲁⲕⲣⲓⲛⲉ
ⲙⲛⲧⲁⲧⲉⲓⲙⲉ	N	ⲙⲛⲧⲁⲧⲉⲓⲙⲉ
ⲙⲛⲧⲁⲧⲗⲱⲥ	N	ⲙⲛⲧⲁⲧⲗⲱⲱⲥ
ⲙⲛⲧⲁⲧⲗⲱⲱⲥ	N	ⲙⲛⲧⲁⲧⲗⲱⲱⲥ
ⲙⲛⲧⲁⲧⲙⲉⲉⲩⲉ	N	ⲙⲛⲧⲁⲧⲙⲉⲉⲩⲉ
ⲙⲛⲧⲁⲧⲙⲟⲩ	N	ⲙⲛⲧⲁⲧⲙⲟⲩ
ⲙⲛⲧⲁⲧⲙⲡϣⲁ	N	ⲙⲛⲧⲁⲧⲙⲡϣⲁ
ⲙⲛⲧⲁⲧⲛⲁ	N	ⲙⲛⲧⲁⲧⲛⲁ
ⲙⲛⲧⲁⲧⲛⲁϩⲧⲉ	N	ⲙⲛⲧⲁⲧⲛⲁϩⲧⲉ
ⲙⲛⲧⲁⲧⲛⲟϥⲣⲉ	N	ⲙⲛⲧⲁⲧⲛⲟϥⲣⲉ
ⲙⲛⲧⲁⲧⲛⲟⲩⲧⲉ	N	ⲙⲛⲧⲁⲧⲛⲟⲩⲧⲉ
ⲙⲛⲧⲁⲧⲟⲡⲕ	N	ⲙⲛⲧⲁⲧⲟⲡⲕ
ⲙⲛⲧⲁⲧⲟⲩϫⲁⲓ	N	ⲙⲛⲧⲁⲧⲟⲩϫⲁⲓ
ⲙⲛⲧⲁⲧⲡⲱⲣϫ	N	ⲙⲛⲧⲁⲧⲡⲱⲣϫ
ⲙⲛⲧⲁⲧⲡⲱⲱⲛⲉ	N	ⲙⲛⲧⲁⲧⲡⲱⲱⲛⲉ
ⲙⲛⲧⲁⲧⲣⲟⲟⲩϣ	N	ⲙⲛⲧⲁⲧⲣⲟⲟⲩϣ
ⲙⲛⲧⲁⲧⲣⲱⲙⲉ	N	ⲙⲛⲧⲁⲧⲣⲱⲙⲉ
ⲙⲛⲧⲁⲧⲥϩⲓⲙⲉ	N	ⲙⲛⲧⲁⲧⲥϩⲓⲙⲉ
ⲙⲛⲧⲁⲧⲥⲃⲃⲉ	N	ⲙⲛⲧⲁⲧⲥⲃⲃⲉ
