.	PUNCT	.
ⲕⲗⲁⲇⲟⲥ	N	ⲕⲗⲁⲇⲟⲥ
ⲕⲗⲁⲥⲙⲁ	N	ⲕⲗⲁⲥⲙⲁ
ⲕⲗⲁⲥⲙⲁⲧⲓⲍⲉ	V	ⲕⲗⲁⲥⲙⲁⲧⲓⲍⲉ
ⲕⲗⲏ	N	ⲕⲗⲏ
ⲕⲗⲏⲙⲁ	N	ⲕⲗⲏⲙⲁ
ⲕⲗⲏⲣⲓⲕⲟⲥ	N	ⲕⲗⲏⲣⲓⲕⲟⲥ
ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ	V	ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ
ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	N	ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ
ⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ	N	ⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ
ⲕⲗⲏⲣⲟⲥ	N	ⲕⲗⲏⲣⲟⲥ
ⲕⲗⲏⲣⲟⲩ	V	ⲕⲗⲏⲣⲟⲩ
ⲕⲗⲓϫⲓ	N	ⲕⲗⲓϫⲓ
ⲕⲗⲓⲙⲁ	N	ⲕⲗⲓⲙⲁ
ⲕⲗⲟⲙⲗⲉⲙ	V	ϭⲗⲟⲙⲗⲉⲙ
ⲕⲗⲱⲓⲗⲓ	N	ⲕⲗⲱⲓⲗⲓ
ⲕⲛⲓⲕⲓϫⲓ	N	ⲕⲛⲓⲕⲓϫⲓ
ⲕⲟⲃ	V	ⲕⲱⲃ
ⲕⲟⲃϩ	N	ⲕⲟⲃϩ
ⲕⲟⲇⲣⲁⲛⲧⲏⲥ	N	ⲕⲟⲇⲣⲁⲛⲧⲏⲥ
ⲕⲟⲓ	N	ⲕⲟⲓ
ⲕⲟⲓϩⲓ	N	ⲕⲟⲓϩⲓ
ⲕⲟⲓⲗⲁⲥ	N	ⲕⲟⲓⲗⲁⲥ
ⲕⲟⲓⲗⲓⲁ	N	ⲕⲟⲓⲗⲓⲁ
ⲕⲟⲓⲛⲟⲃⲓⲟⲥ	N	ⲕⲟⲓⲛⲟⲃⲓⲟⲥ
ⲕⲟⲓⲛⲟⲛ	N	ⲕⲟⲓⲛⲟⲛ
ⲕⲟⲓⲛⲟⲛⲟⲥ	N	ⲕⲟⲓⲛⲟⲛⲟⲥ
ⲕⲟⲓⲛⲟⲥ	N	ⲕⲟⲓⲛⲟⲥ
ⲕⲟⲓⲛⲱⲛⲉⲓ	V	ⲕⲟⲓⲛⲱⲛⲉⲓ
ⲕⲟⲓⲛⲱⲛⲓ	V	ⲕⲟⲓⲛⲱⲛⲓ
ⲕⲟⲓⲛⲱⲛⲓⲁ	N	ⲕⲟⲓⲛⲱⲛⲓⲁ
ⲕⲟⲓⲛⲱⲛⲟⲥ	N	ⲕⲟⲓⲛⲱⲛⲟⲥ
ⲕⲟⲓⲧⲱⲛ	N	ⲕⲟⲓⲧⲱⲛ
ⲕⲟⲕ	V	ⲕⲱⲕ
ⲕⲟⲕⲕⲓⲛⲟⲥ	N	ⲕⲟⲕⲕⲓⲛⲟⲥ
ⲕⲟⲕⲕⲟⲥ	N	ⲕⲟⲕⲕⲟⲥ
ⲕⲟⲗ	V	ⲕⲱⲗ
ⲕⲟⲗϩⲟⲧ	N	ⲕⲟⲩⲗϩⲟⲧ
ⲕⲟⲗϩⲧ	N	ⲕⲟⲩⲗϩⲟⲧ
ⲕⲟⲗϫ	V	ⲕⲱⲗϫ
ⲕⲟⲗϫ	VSTAT	ⲕⲱⲗϫ
ⲕⲟⲗⲁⲍⲉ	V	ⲕⲟⲗⲁⲍⲉ
ⲕⲟⲗⲁⲕⲉⲩⲉ	V	ⲕⲟⲗⲁⲕⲉⲩⲉ
ⲕⲟⲗⲁⲥⲓⲥ	N	ⲕⲟⲗⲁⲥⲓⲥ
ⲕⲟⲗⲁⲥⲧⲏⲣⲓⲟⲛ	N	ⲕⲟⲗⲁⲥⲧⲏⲣⲓⲟⲛ
ⲕⲟⲗⲕⲉⲗ	N	ⲕⲟⲗⲕⲉⲗ
ⲕⲟⲗⲗⲁ	V	ⲕⲟⲗⲗⲁ
ⲕⲟⲗⲗⲁⲣⲓⲟⲛ	N	ⲕⲟⲗⲗⲁⲣⲓⲟⲛ
ⲕⲟⲗⲗⲏⲅⲓⲟⲛ	N	ⲕⲟⲗⲗⲏⲅⲓⲟⲛ
ⲕⲟⲗⲗⲏⲕⲟⲛ	N	ⲕⲟⲗⲗⲏⲕⲟⲛ
ⲕⲟⲗⲗⲩⲃⲓⲥⲧⲏⲥ	N	ⲕⲟⲗⲗⲩⲃⲓⲥⲧⲏⲥ
ⲕⲟⲗⲗⲩⲕⲓⲟⲛ	N	ⲕⲟⲗⲗⲏⲅⲓⲟⲛ
ⲕⲟⲗⲟⲃⲟⲥ	N	ⲕⲟⲗⲟⲃⲟⲥ
ⲕⲟⲗⲡ	V	ⲕⲱⲗⲡ
ⲕⲟⲗⲡ	VSTAT	ⲕⲱⲗⲡ
ⲕⲟⲗⲡⲟⲥ	N	ⲕⲟⲗⲡⲟⲥ
ⲕⲟⲗⲧⲁϧ	N	ⲕⲟⲗⲧⲁϧ
ⲕⲟⲗⲩⲙⲃⲏⲑⲣⲁ	N	ⲕⲟⲗⲩⲙⲃⲏⲑⲣⲁ
ⲕⲟⲙⲁⲣⲓⲧⲏⲥ	N	ⲕⲟⲙⲁⲣⲓⲧⲏⲥ
ⲕⲟⲙⲉⲥ	N	ⲕⲟⲙⲉⲥ
ⲕⲟⲙⲏ	N	ⲕⲟⲙⲏ
ⲕⲟⲙⲏⲛⲧⲁⲣⲓⲥⲓⲟⲥ	N	ⲕⲟⲙⲏⲛⲧⲁⲣⲓⲥⲓⲟⲥ
ⲕⲟⲙⲏⲥ	N	ⲕⲟⲙⲏⲥ
ⲕⲟⲙⲏⲧⲁⲧⲟⲛ	N	ⲕⲟⲙⲏⲧⲁⲧⲟⲛ
ⲕⲟⲙⲓ	N	ⲕⲟⲙⲏ
ⲕⲟⲙⲡⲗⲉⲩⲥⲓⲥ	N	ⲕⲟⲙⲡⲗⲉⲩⲥⲓⲥ
ⲕⲟⲛϯⲧⲟⲛ	N	ⲕⲟⲛϯⲧⲟⲛ
ⲕⲟⲛⲇⲣⲁⲛⲧⲏⲥ	N	ⲕⲟⲛⲇⲣⲁⲛⲧⲏⲥ
ⲕⲟⲛⲓⲁ	V	ⲕⲟⲛⲓⲁ
ⲕⲟⲛⲧⲁⲣⲓⲟⲛ	N	ⲕⲟⲛⲧⲁⲣⲓⲟⲛ
ⲕⲟⲡϣ	VSTAT	ⲕⲱⲡϣ
ⲕⲟⲡⲣⲓⲁ	N	ⲕⲟⲡⲣⲓⲁ
ⲕⲟⲣϥ	V	ⲕⲱⲣϥ
ⲕⲟⲣϥ	VSTAT	ⲕⲱⲣϥ
ⲕⲟⲣϫ	V	ⲕⲱⲣϫ
ⲕⲟⲣⲃⲁⲛ	N	ⲕⲟⲣⲃⲁⲛ
ⲕⲟⲣⲉ	NPROP	ⲕⲟⲣⲉ
ⲕⲟⲣⲏ	N	ⲕⲟⲣⲏ
ⲕⲟⲣⲓ	N	ⲕⲟⲣⲓ
ⲕⲟⲣⲓⲛⲑⲟⲥ	N	ⲕⲟⲣⲓⲛⲑⲟⲥ
ⲕⲟⲣⲕⲥ	N	ⲕⲟⲣⲕⲥ
ⲕⲟⲣⲝ	N	ⲕⲟⲣⲝ
ⲕⲟⲣⲟⲩ	N	ⲕⲟⲣⲟⲩ
ⲕⲟⲣⲧⲉⲛ	N	ⲕⲟⲣⲧⲉⲛ
ⲕⲟⲥ	V	ⲕⲱⲥ
ⲕⲟⲥⲕⲉⲥ	V	ⲕⲟⲥⲕⲉⲥ
ⲕⲟⲥⲙⲉⲓ	V	ⲕⲟⲥⲙⲉⲓ
ⲕⲟⲥⲙⲉⲓⲥⲑⲁⲓ	V	ⲕⲟⲥⲙⲉⲓⲥⲑⲁⲓ
ⲕⲟⲥⲙⲏⲥⲓⲥ	N	ⲕⲟⲥⲙⲏⲥⲓⲥ
ⲕⲟⲥⲙⲓⲕⲟⲛ	N	ⲕⲟⲥⲙⲓⲕⲟⲛ
ⲕⲟⲥⲙⲓⲕⲟⲥ	N	ⲕⲟⲥⲙⲓⲕⲟⲥ
ⲕⲟⲥⲙⲟⲕⲣⲁⲧⲱⲣ	N	ⲕⲟⲥⲙⲟⲕⲣⲁⲧⲱⲣ
ⲕⲟⲥⲙⲟⲥ	N	ⲕⲟⲥⲙⲟⲥ
ⲕⲟⲧ	N	ⲕⲟⲧ
ⲕⲟⲧ	V	ⲕⲱϯ
ⲕⲟⲧ	V	ⲕⲱⲧ
ⲕⲟⲩϫⲓ	N	ⲕⲟⲩϫⲓ
ⲕⲟⲩⲕⲗⲓⲟⲛ	N	ⲕⲟⲩⲕⲗⲓⲟⲛ
ⲕⲟⲩⲕⲟⲩⲙⲓⲟⲛ	N	ⲕⲟⲩⲕⲟⲩⲙⲓⲟⲛ
ⲕⲟⲩⲕⲟⲩⲫⲁⲧ	N	ⲕⲟⲩⲕⲟⲩⲫⲁⲧ
ⲕⲟⲩⲗϩⲟⲧ	N	ⲕⲟⲩⲗϩⲟⲧ
ⲕⲟⲩⲗⲁϫⲓ	N	ⲕⲟⲩⲗⲁϫⲓ
ⲕⲟⲩⲗⲁⲑⲉ	N	ⲕⲟⲩⲗⲁⲑⲉ
ⲕⲟⲩⲗⲗⲁ	N	ⲕⲟⲩⲗⲗⲁ
ⲕⲟⲩⲗⲱⲗ	N	ⲕⲉⲗⲱⲗ
ⲕⲟⲩⲗⲱⲗ	V	ⲕⲟⲩⲗⲱⲗ
ⲕⲟⲩⲗⲱⲗ	VSTAT	ⲕⲟⲩⲗⲱⲗ
ⲕⲟⲩⲙ	FM	ⲕⲟⲩⲙ
ⲕⲟⲩⲙ	V	ⲕⲟⲩⲙ
ⲕⲟⲩⲙⲫⲟⲥ	N	ⲕⲟⲩⲙⲫⲟⲥ
ⲕⲟⲩⲝ	N	ⲕⲟⲩⲝ
ⲕⲟⲩⲡⲉⲣ	N	ⲕⲟⲩⲡⲉⲣ
ⲕⲟⲩⲣ	N	ⲕⲟⲩⲣ
ⲕⲟⲩⲫⲁⲧ	N	ⲕⲟⲩⲫⲁⲧ
ⲕⲟⲩⲫⲓⲍⲉ	V	ⲕⲟⲩⲫⲓⲍⲉ
ⲕⲟⲩⲫⲟⲛ	N	ⲕⲟⲩⲫⲟⲛ
ⲕⲟⲭⲗⲓⲁⲣⲓⲛ	N	ⲕⲟⲭⲗⲓⲁⲣⲓⲛ
ⲕⲣⲁⲙ	N	ⲕⲣⲁⲙ
ⲕⲣⲁⲛⲓⲟⲛ	V	ⲕⲣⲁⲛⲓⲟⲛ
ⲕⲣⲁⲥⲓⲥ	N	ⲕⲣⲁⲥⲓⲥ
ⲕⲣⲁⲧⲏⲣ	N	ⲕⲣⲁⲧⲏⲣ
ⲕⲣⲁⲧⲟⲥ	N	ⲕⲣⲁⲧⲟⲥ
ⲕⲣⲁⲩⲅⲏ	N	ⲕⲣⲁⲩⲅⲏ
ⲕⲣⲏⲧⲉⲥ	N	ⲕⲣⲏⲧⲉⲥ
ⲕⲣⲓⲕⲟⲥ	N	ⲕⲣⲓⲕⲟⲥ
ⲕⲣⲓⲙⲁ	N	ⲕⲣⲓⲙⲁ
ⲕⲣⲓⲛⲉ	V	ⲕⲣⲓⲛⲉ
ⲕⲣⲓⲛⲟⲛ	N	ⲕⲣⲓⲛⲟⲛ
ⲕⲣⲓⲥⲓⲥ	N	ⲕⲣⲓⲥⲓⲥ
ⲕⲣⲓⲥⲡⲟⲥ	NPROP	ⲕⲣⲓⲥⲡⲟⲥ
ⲕⲣⲓⲧⲏⲣⲓⲟⲛ	N	ⲕⲣⲓⲧⲏⲣⲓⲟⲛ
ⲕⲣⲓⲧⲏⲥ	N	ⲕⲣⲓⲧⲏⲥ
ⲕⲣⲟⲕⲟⲥ	N	ⲕⲣⲟⲕⲟⲥ
ⲕⲣⲟⲙ	N	ⲕⲣⲁⲙ
ⲕⲣⲟⲛⲟⲥ	N	ⲕⲣⲟⲛⲟⲥ
ⲕⲣⲟⲛⲟⲥ	NPROP	ⲕⲣⲟⲛⲟⲥ
ⲕⲣⲩⲥⲧⲁⲗⲗⲟⲛ	N	ⲕⲣⲩⲥⲧⲁⲗⲗⲟⲛ
ⲕⲣⲩⲥⲧⲁⲗⲗⲟⲥ	N	ⲕⲣⲩⲥⲧⲁⲗⲗⲟⲥ
ⲕⲣⲱⲙ	N	ⲕⲣⲁⲙ
ⲕⲧⲉ	V	ⲕⲧⲟ
ⲕⲧⲏⲙⲁ	N	ⲕⲧⲏⲙⲁ
ⲕⲧⲏⲟⲩⲧ	VSTAT	ⲕⲧⲟ
ⲕⲧⲏⲥⲓⲥ	N	ⲕⲧⲏⲥⲓⲥ
ⲕⲧⲓⲥⲓⲥ	N	ⲕⲧⲓⲥⲓⲥ
ⲕⲧⲓⲥⲙⲁ	N	ⲕⲧⲓⲥⲙⲁ
ⲕⲧⲟ	V	ⲕⲧⲟ
ⲕⲩⲇⲁⲣⲓⲧⲏⲥ	N	ⲕⲩⲇⲁⲣⲓⲧⲏⲥ
ⲕⲩⲕⲗⲟⲥ	N	ⲕⲩⲕⲗⲟⲥ
ⲕⲩⲗⲗⲟⲥ	N	ⲕⲩⲗⲗⲟⲥ
ⲕⲩⲙⲃⲁⲗⲟⲛ	N	ⲕⲩⲙⲃⲁⲗⲟⲛ
ⲕⲩⲙⲏⲗⲓⲟⲛ	N	ⲕⲩⲙⲏⲗⲓⲟⲛ
ⲕⲩⲛⲇⲓⲛⲁⲣⲓⲟⲛ	N	ⲕⲩⲛⲇⲓⲛⲁⲣⲓⲟⲛ
ⲕⲩⲛⲇⲩⲛⲟⲥ	N	ⲕⲩⲛⲇⲩⲛⲟⲥ
ⲕⲩⲡⲁⲣⲓⲥⲥⲟⲥ	N	ⲕⲩⲡⲁⲣⲓⲥⲥⲟⲥ
ⲕⲩⲡⲏ	N	ⲕⲩⲡⲏ
ⲕⲩⲡⲣⲓⲟⲥ	N	ⲕⲩⲡⲣⲓⲟⲥ
ⲕⲩⲡⲣⲟⲥ	N	ⲕⲩⲡⲣⲟⲥ
ⲕⲩⲣⲏⲛⲁⲓⲟⲥ	N	ⲕⲩⲣⲏⲛⲁⲓⲟⲥ
ⲕⲩⲣⲏⲥⲥⲉ	V	ⲕⲩⲣⲏⲥⲥⲉ
ⲕⲩⲣⲓ	N	ⲕⲩⲣⲓ
ⲕⲩⲣⲓⲁⲕⲏ	NPROP	ⲕⲩⲣⲓⲁⲕⲏ
ⲕⲩⲣⲓⲁⲕⲟⲛ	N	ⲕⲩⲣⲓⲁⲕⲟⲛ
ⲕⲩⲣⲓⲉⲩⲉⲥⲑⲁⲓ	V	ⲕⲩⲣⲓⲉⲩⲉⲥⲑⲁⲓ
ⲕⲩⲣⲓⲝ	N	ⲕⲩⲣⲓⲝ
ⲕⲩⲣⲓⲱⲥ	ADV	ⲕⲩⲣⲓⲱⲥ
ⲕⲩⲣⲟⲥ	N	ⲕⲩⲣⲟⲥ
ⲕⲱϣ	V	ⲕⲱϣ
ⲕⲱϯ	N	ⲕⲱϯ
ⲕⲱϯ	V	ⲕⲱϯ
ⲕⲱⲃ	N	ⲕⲱⲃ
ⲕⲱⲃ	V	ⲕⲱⲃ
ⲕⲱⲓ	N	ⲕⲱⲓ
ⲕⲱⲓϩ	N	ⲕⲱⲓϩ
ⲕⲱⲕ	V	ⲕⲱⲕ
ⲕⲱⲗ	V	ⲕⲱⲗ
ⲕⲱⲗϩ	V	ⲕⲱⲗϩ
ⲕⲱⲗϫ	V	ϫⲱⲗϫ
ⲕⲱⲗϫ	V	ⲕⲱⲗϫ
ⲕⲱⲗⲡ	V	ⲕⲱⲗⲡ
ⲕⲱⲗⲩ	V	ⲕⲱⲗⲩ
ⲕⲱⲗⲩⲉ	V	ⲕⲱⲗⲩⲉ
ⲕⲱⲙⲉⲥ	N	ⲕⲱⲙⲉⲥ
ⲕⲱⲙⲏ	N	ⲕⲱⲙⲏ
ⲕⲱⲙⲓⲧⲁⲧⲱⲛ	N	ⲕⲱⲙⲓⲧⲁⲧⲱⲛ
ⲕⲱⲙⲟⲡⲟⲗⲓⲥ	N	ⲕⲱⲙⲟⲡⲟⲗⲓⲥ
ⲕⲱⲛⲓⲁ	N	ⲕⲱⲛⲓⲁ
ⲕⲱⲛⲓⲁⲍⲉ	V	ⲕⲱⲛⲓⲁⲍⲉ
ⲕⲱⲡ	V	ⲕⲱⲃ
ⲕⲱⲡϣ	V	ⲕⲱⲡϣ
ⲕⲱⲡⲓⲥ	N	ⲕⲱⲡⲓⲥ
ⲕⲱⲣϣ	V	ⲕⲱⲣϣ
ⲕⲱⲣϥ	V	ⲕⲱⲣϥ
ⲕⲱⲣϫ	V	ⲕⲱⲣϫ
ⲕⲱⲣⲉⲝ	N	ⲕⲱⲣⲉⲝ
ⲕⲱⲥ	V	ⲕⲱⲥ
ⲕⲱⲥⲙⲓⲕⲟⲛ	N	ⲕⲱⲥⲙⲓⲕⲟⲛ
ⲕⲱⲥⲧⲁⲛⲧⲓⲛⲟⲥ	NPROP	ⲕⲱⲥⲧⲁⲛⲧⲓⲛⲟⲥ
ⲕⲱⲥⲧⲱϯⲁ	N	ⲕⲱⲥⲧⲱϯⲁ
ⲕⲱⲧ	N	ⲕⲱⲧ
ⲕⲱⲧ	V	ⲕⲱⲧ
ⲕⲱⲧⲱⲛ	N	ⲕⲱⲧⲱⲛ
ⲕⲱⲫⲟⲛ	N	ⲕⲱⲫⲟⲛ
ⲗⲁ	N	ⲗⲁ
ⲗⲁ	V	ⲗⲁ
ⲗⲁ	VSTAT	ⲗⲓⲃⲓ
ⲗⲁϧⲉⲙ	N	ⲗⲁϧⲉⲙ
ⲗⲁϧⲉⲙ	VSTAT	ⲗⲱϧⲉⲙ
ⲗⲁϩⲱϫ	N	ⲗⲁϩⲱϫ
ⲗⲁϫⲁⲡⲧ	N	ⲗⲁⲙϫⲁⲧⲡ
ⲗⲁϫⲓ	N	ⲗⲁϫⲓ
ⲗⲁϫⲗⲉϫ	N	ⲗⲁϫⲗⲉϫ
ⲗⲁϭⲟⲩ	N	ⲗⲁϭⲟⲩ
ⲗⲁⲃ	VSTAT	ⲗⲓⲃⲓ
ⲗⲁⲃⲁⲛ	NPROP	ⲗⲁⲃⲁⲛ
ⲗⲁⲃⲁⲥ	N	ⲗⲁⲃⲁⲥ
ⲗⲁⲃⲟ	N	ⲗⲁⲟⲩⲟ
ⲗⲁⲃⲟⲓ	N	ⲗⲁⲃⲟⲓ
ⲗⲁⲃⲟⲥ	N	ⲗⲁⲃⲁⲥ
ⲗⲁⲃⲱ	N	ⲗⲉⲃⲁⲛ
ⲗⲁⲓⲕⲟⲥ	N	ⲗⲁⲓⲕⲟⲥ
ⲗⲁⲕϩ	N	ⲗⲁⲕϩ
ⲗⲁⲕⲁⲙⲟⲩ	N	ⲗⲁⲕⲁⲙⲟⲩ
ⲗⲁⲕⲁⲛⲏ	N	ⲗⲁⲕⲁⲛⲏ
ⲗⲁⲕⲉⲛⲧ	N	ⲗⲁⲕⲉⲛⲧ
ⲗⲁⲕⲕⲟⲥ	N	ⲗⲁⲕⲕⲟⲥ
ⲗⲁⲕⲙⲏ	N	ⲗⲁⲕⲙⲏ
ⲗⲁⲕⲟⲛ	N	ⲗⲁⲕⲟⲛ
ⲗⲁⲕⲥⲓ	N	ⲗⲁⲕⲥⲓ
ⲗⲁⲕⲧⲓⲍⲉ	V	ⲗⲁⲕⲧⲓⲍⲉ
ⲗⲁⲗⲉ	V	ⲗⲁⲗⲱ
ⲗⲁⲗⲏⲟⲩⲧ	VSTAT	ⲗⲁⲗⲱ
ⲗⲁⲗⲓⲁ	N	ⲗⲁⲗⲓⲁ
ⲗⲁⲗⲟ	V	ⲗⲁⲗⲱ
ⲗⲁⲗⲟⲩⲕⲏⲛ	N	ⲗⲁⲗⲟⲩⲕⲓⲛ
ⲗⲁⲗⲟⲩⲕⲓⲛ	N	ⲗⲁⲗⲟⲩⲕⲓⲛ
ⲗⲁⲗⲱ	V	ⲗⲁⲗⲱ
ⲗⲁⲗⲱⲱ	V	ⲗⲁⲗⲱ
ⲗⲁⲙ	N	ⲗⲁⲙ
ⲗⲁⲙ	VSTAT	ⲗⲱⲙ
ⲗⲁⲙϫⲁⲧⲡ	N	ⲗⲁⲙϫⲁⲧⲡ
ⲗⲁⲙⲁ	FW	ⲗⲁⲙⲁ
ⲗⲁⲙⲁ	PINT	ⲗⲁⲙⲁ
ⲗⲁⲙⲡⲁⲥ	N	ⲗⲁⲙⲡⲁⲥ
ⲗⲁⲙⲡⲣⲟⲧⲁⲧⲟⲥ	N	ⲗⲁⲙⲡⲣⲟⲧⲁⲧⲟⲥ
ⲗⲁⲙⲡⲣⲟⲧⲏⲥ	N	ⲗⲁⲙⲡⲣⲟⲧⲏⲥ
ⲗⲁⲙⲣⲏⲧ	N	ⲗⲁⲙⲣⲏⲧ
ⲗⲁⲙⲯⲁⲛⲉ	N	ⲗⲁⲙⲯⲁⲛⲉ
ⲗⲁⲙⲱⲟⲩ	N	ⲗⲁⲙⲱⲟⲩ
ⲗⲁⲛⲑⲁⲛⲉ	V	ⲗⲁⲛⲑⲁⲛⲉ
ⲗⲁⲟⲥ	N	ⲗⲁⲟⲥ
ⲗⲁⲟⲩⲟ	N	ⲗⲁⲟⲩⲟ
ⲗⲁⲡⲗⲉⲡ	V	ⲗⲁⲡⲗⲉⲡ
ⲗⲁⲡⲥⲓ	N	ⲗⲁⲡⲥⲓ
ⲗⲁⲡⲥⲓ	V	ⲗⲁⲡⲥⲓ
ⲗⲁⲡⲧ	N	ⲗⲁⲡⲧ
ⲗⲁⲥ	N	ⲗⲁⲥ
ⲗⲁⲥ	V	ⲗⲱⲥ
ⲗⲁⲥ	VSTAT	ⲗⲱⲥ
ⲗⲁⲩ	N	ⲗⲱⲟⲩ
ⲗⲁⲩⲣⲁ	N	ⲗⲁⲩⲣⲁ
ⲗⲁⲭⲙⲏ	N	ⲗⲁⲕⲙⲏ
ⲗⲉϣϫ	V	ⲗⲱϣϫ
ⲗⲉϥⲗⲱϥ	V	ⲗⲟϥⲗⲉϥ
ⲗⲉϥⲗⲱϥ	VSTAT	ⲗⲟϥⲗⲉϥ
ⲗⲉϥⲗⲱϥⲧ	VSTAT	ⲗⲟϥⲗⲉϥ
ⲗⲉϩⲗⲉⲙ	N	ⲗⲉϩⲗⲏⲙ
ⲗⲉϩⲗⲏⲙ	N	ⲗⲉϩⲗⲏⲙ
ⲗⲉϫ	V	ⲗⲱϫ
ⲗⲉϫϩ	V	ⲗⲱϫϩ
ⲗⲉⲃⲁⲛ	N	ⲗⲉⲃⲁⲛ
ⲗⲉⲃⲏⲥ	N	ⲗⲉⲃⲏⲥ
ⲗⲉⲃⲧ	N	ⲗⲁⲡⲧ
ⲗⲉⲅⲅⲉⲓⲣⲓⲟⲛ	N	ⲗⲉⲅⲅⲉⲓⲣⲓⲟⲛ
ⲗⲉⲅⲉⲱⲛ	NPROP	ⲗⲉⲅⲉⲱⲛ
ⲗⲉⲓϥⲓ	N	ⲗⲉⲓϥⲓ
ⲗⲉⲓⲧⲟⲩⲣⲅⲓⲁ	N	ⲗⲉⲓⲧⲟⲩⲣⲅⲓⲁ
ⲗⲉⲓⲧⲟⲩⲣⲅⲟⲥ	N	ⲗⲉⲓⲧⲟⲩⲣⲅⲟⲥ
ⲗⲉⲕⲧⲟⲩⲙⲉⲛⲟⲥ	N	ⲗⲉⲕⲧⲟⲩⲙⲉⲛⲟⲥ
ⲗⲉⲗⲉ	N	ⲁⲗⲟⲗⲓ
ⲗⲉⲗⲉ	V	ⲗⲉⲗⲉ
ⲗⲉⲗⲏⲙ	N	ⲗⲉϩⲗⲏⲙ
ⲗⲉⲙⲗⲏⲙ	VSTAT	ϭⲗⲟⲙⲗⲉⲙ
ⲗⲉⲛϫⲓ	N	ⲗⲉⲛϫⲓ
ⲗⲉⲛⲧⲓⲟⲛ	N	ⲗⲉⲛⲧⲓⲟⲛ
ⲗⲉⲝⲓⲥ	N	ⲗⲉⲝⲓⲥ
ⲗⲉⲟⲛ	N	ⲗⲉⲟⲛ
ⲗⲉⲟⲡⲁⲣⲇⲁⲗⲓⲥ	N	ⲗⲉⲟⲡⲁⲣⲇⲁⲗⲓⲥ
ⲗⲉⲟⲩⲉⲓ	V	ⲗⲉⲟⲩⲉⲓ
ⲗⲉⲡⲁϣⲓ	N	ⲗⲉⲡⲁϣⲓ
ⲗⲉⲡⲧⲟⲛ	N	ⲗⲉⲡⲧⲟⲛ
ⲗⲉⲥⲭⲏ	N	ⲗⲉⲥⲭⲏ
ⲗⲉⲩⲓ	NPROP	ⲗⲉⲩⲓ
ⲗⲉⲩⲓⲧⲏⲥ	N	ⲗⲉⲩⲓⲧⲏⲥ
ⲗⲉⲩⲕⲏ	V	ⲗⲉⲩⲕⲏ
ⲗⲉⲩⲕⲱⲙⲁ	N	ⲗⲉⲩⲕⲱⲙⲁ
ⲗⲏⲕ	VSTAT	ⲗⲱⲕ
ⲗⲏⲗ	N	ⲗⲏⲗ
ⲗⲏⲗⲟⲩⲓ	N	ⲗⲏⲗⲟⲩⲓ
ⲗⲏⲙⲙⲁ	N	ⲗⲏⲙⲙⲁ
ⲗⲏⲟⲩ	N	ⲗⲏⲟⲩ
ⲗⲏⲥ	N	ⲗⲏⲥ
ⲗⲏⲥⲧⲏⲥ	N	ⲗⲏⲥⲧⲏⲥ
ⲗⲓⲁ	NPROP	ⲗⲓⲁ
ⲗⲓⲃⲁⲛⲟⲥ	N	ⲗⲓⲃⲁⲛⲟⲥ
ⲗⲓⲃⲉⲣⲧⲓⲛⲟⲥ	N	ⲗⲓⲃⲉⲣⲧⲓⲛⲟⲥ
ⲗⲓⲃⲓ	V	ⲗⲓⲃⲓ
ⲗⲓⲃⲓⲧⲟⲛ	N	ⲗⲓⲃⲓⲧⲟⲛ
ⲗⲓⲃⲟⲥ	N	ⲗⲓⲃⲟⲥ
ⲗⲓⲃⲱⲥ	N	ⲗⲓⲃⲟⲥ
ⲗⲓⲇⲣⲁ	N	ⲗⲓⲇⲣⲁ
ⲗⲓⲕ	N	ⲗⲓⲕ
ⲗⲓⲕⲛⲟⲛ	N	ⲗⲓⲕⲛⲟⲛ
ⲗⲓⲙⲏⲛ	N	ⲗⲓⲙⲏⲛ
ⲗⲓⲙⲛ	N	ⲗⲓⲙⲏⲛ
ⲗⲓⲙⲛⲏ	N	ⲗⲓⲙⲛⲏ
ⲗⲓⲝ	N	ⲗⲓⲝ
ⲗⲓⲧⲟⲩⲣⲅⲓⲁ	N	ⲗⲓⲧⲟⲩⲣⲅⲓⲁ
ⲗⲓⲧⲟⲩⲣⲅⲟⲥ	N	ⲗⲓⲧⲟⲩⲣⲅⲟⲥ
ⲗⲓⲧⲣⲁ	N	ⲗⲓⲧⲣⲁ
ⲗⲕ	V	ⲱⲗⲕ
ⲗⲟϥ	VSTAT	ⲗⲱϥ
ⲗⲟϥⲗⲉϥ	V	ⲗⲟϥⲗⲉϥ
ⲗⲟϫ	V	ⲗⲟϫ
ⲗⲟϫ	V	ⲗⲱϫ
ⲗⲟϫ	V	ⲗⲱϫⲓ
ⲗⲟϫϩ	V	ⲗⲱϫϩ
ⲗⲟϫⲗⲉϫ	V	ⲗⲟϫⲗⲉϫ
ⲗⲟⲃϣ	V	ⲗⲱⲃϣ
ⲗⲟⲃϣ	VSTAT	ⲗⲱⲃϣ
